2025-10-28T02:55:52.333Z,public_udp,example.com,371,402,403,ok
2025-10-28T02:56:14.877Z,isp_udp,example.com,354,374,375,ok
2025-10-28T02:58:05.797Z,isp_udp,example.com,5380,5411,5411,ok
2025-10-28T03:00:45.535Z,isp_udp,example.com,5448,5481,5481,ok
2025-10-28T08:09:15.887Z,MODE,example.com,582,616,616,ok
2025-10-28T08:11:10.756Z,public_udp,example.com,291,311,313,ok
2025-10-28T08:11:22.791Z,public_udp,wikipedia.org,331,551,821,ok
2025-10-28T08:11:35.312Z,public_udp,cloudflare.com,948,1458,1505,ok
2025-10-28T08:11:47.352Z,public_udp,apple.com,517,775,1260,ok
2025-10-28T08:12:02.731Z,public_udp,nytimes.com,478,1660,4613,ok
2025-10-28T08:12:14.739Z,public_udp,github.com,200,813,1207,ok
2025-10-28T08:12:27.591Z,public_udp,cnn.com,330,966,2124,ok
2025-10-28T08:12:38.820Z,public_udp,medium.com,247,407,499,ok
2025-10-28T08:12:50.056Z,public_udp,reddit.com,382,497,497,ok
2025-10-28T08:13:03.205Z,public_udp,stackoverflow.com,514,1081,2412,ok
2025-10-28T08:18:30.502Z,public_udp,example.com,257,269,270,ok
2025-10-28T08:18:32.928Z,public_udp,wikipedia.org,399,539,887,ok
2025-10-28T08:18:37.127Z,public_udp,cloudflare.com,1266,1800,2707,ok
2025-10-28T08:18:39.855Z,public_udp,apple.com,488,834,1320,ok
2025-10-28T08:18:43.935Z,public_udp,nytimes.com,508,1312,2667,ok
2025-10-28T08:18:46.688Z,public_udp,github.com,206,716,1205,ok
2025-10-28T08:18:49.980Z,public_udp,cnn.com,468,1008,1907,ok
2025-10-28T08:18:51.910Z,public_udp,medium.com,199,347,419,ok
2025-10-28T08:18:53.816Z,public_udp,reddit.com,448,570,570,ok
2025-10-28T08:18:56.680Z,public_udp,stackoverflow.com,405,784,1352,ok
