iso,mode,site,trial,ms,status
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,1,7,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,2,0,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,3,0,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,4,0,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,5,0,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,6,0,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,7,0,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,8,0,ok
2025-12-03T21:10:40Z,local_cache,https://postman-echo.com,9,0,ok
2025-12-03T21:10:41Z,local_cache,https://postman-echo.com,10,0,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,1,7,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,2,0,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,3,1,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,4,0,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,5,0,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,6,0,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,7,0,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,8,1,ok
2025-12-03T21:10:54Z,local_cache,https://ietf.org,9,0,ok
2025-12-03T21:10:55Z,local_cache,https://ietf.org,10,1,ok
2025-12-03T21:11:02Z,local_cache,https://nist.gov,1,30,ok
2025-12-03T21:11:02Z,local_cache,https://nist.gov,2,0,ok
2025-12-03T21:11:02Z,local_cache,https://nist.gov,3,0,ok
2025-12-03T21:11:03Z,local_cache,https://nist.gov,4,0,ok
2025-12-03T21:11:03Z,local_cache,https://nist.gov,5,0,ok
2025-12-03T21:11:03Z,local_cache,https://nist.gov,6,0,ok
2025-12-03T21:11:03Z,local_cache,https://nist.gov,7,0,ok
2025-12-03T21:11:03Z,local_cache,https://nist.gov,8,0,ok
2025-12-03T21:11:03Z,local_cache,https://nist.gov,9,0,ok
2025-12-03T21:11:03Z,local_cache,https://nist.gov,10,0,ok
2025-12-03T21:11:12Z,local_cache,https://mozilla.org,1,25,ok
2025-12-03T21:11:12Z,local_cache,https://mozilla.org,2,0,ok
2025-12-03T21:11:12Z,local_cache,https://mozilla.org,3,0,ok
2025-12-03T21:11:12Z,local_cache,https://mozilla.org,4,1,ok
2025-12-03T21:11:12Z,local_cache,https://mozilla.org,5,0,ok
2025-12-03T21:11:13Z,local_cache,https://mozilla.org,6,1,ok
2025-12-03T21:11:13Z,local_cache,https://mozilla.org,7,1,ok
2025-12-03T21:11:13Z,local_cache,https://mozilla.org,8,0,ok
2025-12-03T21:11:13Z,local_cache,https://mozilla.org,9,0,ok
2025-12-03T21:11:13Z,local_cache,https://mozilla.org,10,0,ok
2025-12-03T21:11:22Z,local_cache,https://python.org,1,7,ok
2025-12-03T21:11:22Z,local_cache,https://python.org,2,0,ok
2025-12-03T21:11:22Z,local_cache,https://python.org,3,0,ok
2025-12-03T21:11:22Z,local_cache,https://python.org,4,0,ok
2025-12-03T21:11:23Z,local_cache,https://python.org,5,0,ok
2025-12-03T21:11:23Z,local_cache,https://python.org,6,0,ok
2025-12-03T21:11:23Z,local_cache,https://python.org,7,0,ok
2025-12-03T21:11:23Z,local_cache,https://python.org,8,1,ok
2025-12-03T21:11:23Z,local_cache,https://python.org,9,0,ok
2025-12-03T21:11:23Z,local_cache,https://python.org,10,0,ok
2025-12-03T21:11:30Z,local_cache,https://apache.org,1,16,ok
2025-12-03T21:11:30Z,local_cache,https://apache.org,2,0,ok
2025-12-03T21:11:30Z,local_cache,https://apache.org,3,1,ok
2025-12-03T21:11:31Z,local_cache,https://apache.org,4,1,ok
2025-12-03T21:11:31Z,local_cache,https://apache.org,5,0,ok
2025-12-03T21:11:31Z,local_cache,https://apache.org,6,0,ok
2025-12-03T21:11:31Z,local_cache,https://apache.org,7,0,ok
2025-12-03T21:11:31Z,local_cache,https://apache.org,8,0,ok
2025-12-03T21:11:31Z,local_cache,https://apache.org,9,0,ok
2025-12-03T21:11:31Z,local_cache,https://apache.org,10,0,ok
2025-12-03T21:11:38Z,local_cache,https://reqres.in,1,32,ok
2025-12-03T21:11:38Z,local_cache,https://reqres.in,2,0,ok
